graph,config,shot_seed,k,mod,nmi,used_k,collapse,best_epoch,time,error
lfr_n500_mu0.3,ortho,54,11,-0.005697579089506178,0.053659793802717785,11,False,0,12.687474966049194,
lfr_n500_mu0.3,ortho,59,11,0.010291883680555558,0.06322721818293851,11,False,0,5.049117088317871,
lfr_n500_mu0.3,ortho,61,11,-0.00026523919753086966,0.058205920407144625,11,False,0,5.793956995010376,
lfr_n500_mu0.3,ortho,60,11,-0.006727671682098762,0.05295588935245043,10,False,0,8.45196008682251,
lfr_n500_mu0.3,ortho,58,11,0.2812451171875,0.3864067454581218,2,False,203,11.397578954696655,
email_eu_core,baseline,44,42,0.05266778379509851,0.039538425808749444,2,False,2927,43.189046144485474,
email_eu_core,baseline,47,42,0.04121170168677879,0.031178112840853152,2,False,1334,43.34561324119568,
email_eu_core,baseline,49,42,0.07585383069316357,0.05688724385362947,2,True,719,43.35647010803223,
email_eu_core,baseline,43,42,0.04880670103140726,0.039755259902543465,2,False,1543,43.55297589302063,
email_eu_core,baseline,46,42,0.0,0.0,1,True,0,43.60064697265625,
email_eu_core,baseline,42,42,0.03447418423603889,0.05630228362672376,3,False,647,43.60726881027222,
email_eu_core,baseline,45,42,0.04833501526761477,0.04615500995184265,2,True,2976,43.66402626037598,
email_eu_core,baseline,48,42,0.0462683763669177,0.042442505812481476,2,True,196,44.00781178474426,
email_eu_core,baseline,50,42,0.015325265949399558,0.07867356403081709,15,False,6,40.84075379371643,
email_eu_core,baseline,51,42,0.05298624468448412,0.05137997114385275,3,True,1589,41.27871108055115,
email_eu_core,ortho,42,42,0.0005360235477413042,0.1776034377193552,38,False,0,41.274715185165405,
email_eu_core,ortho,44,42,-0.0016769559585363743,0.18289261148649813,40,False,0,41.46920394897461,
email_eu_core,ortho,45,42,0.0013793338845811984,0.18063898754922675,39,False,0,41.6355459690094,
email_eu_core,ortho,46,42,-0.004202568073696253,0.18210504650869638,42,False,0,41.64588689804077,
email_eu_core,ortho,43,42,-0.004304456414878337,0.18907310319292714,42,False,0,41.87957787513733,
email_eu_core,ortho,47,42,-0.0007905070455230878,0.17347473805099362,38,False,0,41.847126960754395,
email_eu_core,ortho,48,42,-0.003482211591879497,0.17386587689397803,41,False,0,38.274710178375244,
email_eu_core,ortho,50,42,-0.0023058890403277344,0.18627622563488974,41,False,0,38.164328813552856,
email_eu_core,ortho,49,42,0.0012931109848454752,0.18935264402230587,41,False,0,38.26831889152527,
email_eu_core,ortho,51,42,-0.0005198775831683241,0.1855609059949031,41,False,0,38.308722257614136,
