graph,k,lr,alpha_ortho,epochs,shot,best_epoch,modularity,nmi,n_used,collapsed,time,error
karate,5,0.014,1.0,3000,45,0,-0.058844474428890015,0.058678643128829276,5,False,4.767711877822876,
karate,5,0.014,0.5,10000,44,2,-0.07670395982084292,0.15570721151638353,5,False,8.694297790527344,
karate,5,0.014,1.0,10000,42,0,-0.12026573714885405,0.007576512230527058,4,False,2.6604361534118652,
karate,5,0.014,1.0,3000,46,0,-0.038642454226869835,0.11740260316987576,5,False,4.817673921585083,
karate,5,0.014,1.0,10000,43,2,-0.06260190026423793,0.010991930838927978,3,False,4.652285099029541,
karate,5,0.014,1.0,10000,45,0,-0.058844474428890015,0.058678643128829276,5,False,5.757673263549805,
polbooks,3,0.001,0.0,3000,43,33,0.0413228027416561,0.08016224786438961,3,False,5.4256980419158936,
polbooks,3,0.001,0.0,3000,42,9,0.032802690237092605,0.02497867049085413,3,False,5.503583192825317,
karate,5,0.014,1.0,10000,46,0,-0.038642454226869835,0.11740260316987576,5,False,6.276417016983032,
polbooks,3,0.001,0.0,3000,44,56,0.03569500362503286,0.012861900879592483,3,False,5.6007912158966064,
polbooks,3,0.001,0.0,3000,45,15,0.03223708228567319,0.06845702097559705,3,True,5.701896905899048,
polbooks,3,0.001,0.0,3000,46,1,0.02771993151001901,0.019689520539261193,3,False,5.655860900878906,
karate,5,0.014,1.0,10000,44,2,-0.07670395982084292,0.15570721151638353,5,False,12.816273212432861,
polbooks,3,0.001,0.1,3000,42,9,0.032802690237092605,0.02497867049085413,3,False,6.131081819534302,
polbooks,3,0.001,0.1,3000,43,12,0.03712702012021745,0.01901210478317946,3,False,6.289669990539551,
polbooks,3,0.001,0.1,3000,44,28,0.02366812182166899,0.051742021640926776,3,False,6.415693044662476,
polbooks,3,0.001,0.1,3000,45,5,0.01581902602310769,0.02512627102385097,3,False,6.487303972244263,
polbooks,3,0.001,0.1,3000,46,1,0.02771993151001901,0.019689520539261193,3,False,6.305746793746948,
polbooks,3,0.001,0.0,10000,42,9,0.032802690237092605,0.02497867049085413,3,False,19.045105934143066,
polbooks,3,0.001,0.0,10000,43,33,0.0413228027416561,0.08016224786438961,3,False,19.151026964187622,
polbooks,3,0.001,0.0,10000,44,56,0.03569500362503286,0.012861900879592483,3,False,19.51219892501831,
polbooks,3,0.001,0.0,10000,45,15,0.03223708228567319,0.06845702097559705,3,True,20.074655055999756,
polbooks,3,0.001,0.0,10000,46,1,0.02771993151001901,0.019689520539261193,3,False,19.794004917144775,
polbooks,3,0.001,0.5,3000,42,7,0.009916135766475931,0.030989745965017922,3,False,6.123453855514526,
polbooks,3,0.001,0.5,3000,44,1,-0.0049773499724908715,0.017767010729422557,3,False,6.215473175048828,
polbooks,3,0.001,0.5,3000,43,1,-0.01281359104488354,0.014579540564834383,3,False,6.419889211654663,
polbooks,3,0.001,0.5,3000,45,5,0.01581902602310769,0.02512627102385097,3,False,6.289395093917847,
polbooks,3,0.001,0.5,3000,46,1,0.02771993151001901,0.019689520539261193,3,False,6.309293031692505,
polbooks,3,0.001,0.1,10000,42,9,0.032802690237092605,0.02497867049085413,3,False,20.89197587966919,
polbooks,3,0.001,0.1,10000,43,12,0.03712702012021745,0.01901210478317946,3,False,21.39743423461914,
polbooks,3,0.001,0.1,10000,44,28,0.02366812182166899,0.051742021640926776,3,False,21.190330266952515,
polbooks,3,0.001,0.1,10000,45,5,0.01581902602310769,0.02512627102385097,3,False,20.43820333480835,
polbooks,3,0.001,0.1,10000,46,1,0.02771993151001901,0.019689520539261193,3,False,20.305499792099,
polbooks,3,0.001,1.0,3000,42,7,0.009916135766475931,0.030989745965017922,3,False,6.308245897293091,
polbooks,3,0.001,1.0,3000,43,1,-0.01281359104488354,0.014579540564834383,3,False,6.20605993270874,
polbooks,3,0.001,1.0,3000,44,2,-0.016590309593225036,0.015446419903154731,3,False,6.2280778884887695,
polbooks,3,0.001,0.5,10000,42,7,0.009916135766475931,0.030989745965017922,3,False,21.406663179397583,
polbooks,3,0.001,1.0,3000,45,0,-0.014394722363624171,0.00849459765566817,3,False,6.506364822387695,
polbooks,3,0.001,0.5,10000,43,1,-0.01281359104488354,0.014579540564834383,3,False,19.0536789894104,
polbooks,3,0.001,1.0,3000,46,3,-0.017904062607658307,0.007994109984842504,3,False,6.311673164367676,
